r,t,f,y,UseByTechnologyAnnual
RE1,DEMINDHEEL,ELC003,2064,12.1927
RE1,DEMINDHEEL,ELC003,2065,12.0733
RE1,DEMINDHEEL,ELC003,2066,11.9551
RE1,DEMINDHEEL,ELC003,2067,11.838
RE1,DEMINDHEEL,ELC003,2068,11.7222
RE1,DEMINDHEEL,ELC003,2069,11.6075
RE1,DEMINDHEEL,ELC003,2070,11.494
RE1,DEMINDHEOIL,LFO,2015,0.0
RE1,DEMINDHEOIL,LFO,2016,0.0
RE1,DEMINDHEOIL,LFO,2017,0.0
RE1,DEMINDHEOIL,LFO,2019,0.0
RE1,DEMINDHEOIL,LFO,2021,0.0
RE1,DEMINDHEOIL,LFO,2022,0.7558
RE1,DEMINDHEOIL,LFO,2023,1.1765
RE1,DEMINDHEOIL,LFO,2024,1.2637
RE1,DEMINDHEOIL,LFO,2025,0.6838
RE1,DEMINDHEOIL,LFO,2027,3.172
RE1,DEMINDHEOIL,LFO,2028,3.7552
RE1,DEMINDHEOIL,LFO,2029,4.3758
RE1,DEMINDHEOIL,LFO,2030,5.0356
RE1,DEMINDHEOIL,LFO,2031,5.6243
RE1,DEMINDHEOIL,LFO,2032,6.2383
RE1,DEMINDHEOIL,LFO,2033,6.8791
RE1,DEMINDHEOIL,LFO,2034,3.579
RE1,DEMINDHEOIL,LFO,2038,19.0585
RE1,DEMINDHEOIL,LFO,2039,19.6975
RE1,DEMINDHEOIL,LFO,2040,20.3554
RE1,DEMINDHEOIL,LFO,2041,20.8804
RE1,DEMINDHEOIL,LFO,2042,17.1609
RE1,DEMINDHEOIL,LFO,2043,3.1365
RE1,DEMINDHEOIL,LFO,2044,3.0418
RE1,DEMINDHEOIL,LFO,2045,4.3968
RE1,DEMINDHEOIL,LFO,2046,6.6676
RE1,DEMINDHEOIL,LFO,2047,9.8374
RE1,DEMINDHEOIL,LFO,2048,13.9938
RE1,DEMRESCKNBIO,BIO,2015,23.8678
RE1,DEMRESCKNBIO,BIO,2016,23.8966
RE1,DEMRESCKNBIO,BIO,2017,89.5304
RE1,DEMRESCKNBIO,BIO,2018,155.1658
RE1,DEMRESCKNBIO,BIO,2019,220.8034
RE1,DEMRESCKNBIO,BIO,2020,286.4422
RE1,DEMRESCKNBIO,BIO,2021,278.9236
RE1,DEMRESCKNBIO,BIO,2022,271.092
RE1,DEMRESCKNBIO,BIO,2023,262.9557
RE1,DEMRESCKNBIO,BIO,2024,252.4911
RE1,DEMRESCKNBIO,BIO,2025,241.9778
RE1,DEMRESCKNBIO,BIO,2026,230.0259
RE1,DEMRESCKNBIO,BIO,2027,209.1329
RE1,DEMRESCKNBIO,BIO,2028,199.3932
RE1,DEMRESCKNBIO,BIO,2029,189.4082
RE1,DEMRESCKNBIO,BIO,2030,179.1784
RE1,DEMRESCKNBIO,BIO,2031,163.4899
RE1,DEMRESCKNBIO,BIO,2032,148.5274
RE1,DEMRESCKNBIO,BIO,2033,123.6867
RE1,DEMRESCKNBIO,BIO,2034,111.6982
RE1,DEMRESCKNBIO,BIO,2035,73.6729
RE1,DEMRESCKNBIO,BIO,2036,49.2494
RE1,DEMRESCKNBIO,BIO,2037,33.0724
RE1,DEMRESCKNBIO,BIO,2038,16.6042
RE1,DEMRESCKNELC,ELC003,2021,2.1117
RE1,DEMRESCKNELC,ELC003,2022,3.3412
RE1,DEMRESCKNELC,ELC003,2023,2.155
RE1,DEMRESCKNELC,ELC003,2025,0.8372
RE1,DEMRESCKNELC,ELC003,2026,0.5622
RE1,DEMRESCKNELC,ELC003,2027,1.1337
RE1,DEMRESCKNELC,ELC003,2028,1.479
RE1,DEMRESCKNELC,ELC003,2029,10.5523
RE1,DEMRESCKNELC,ELC003,2030,20.1701
RE1,DEMRESCKNELC,ELC003,2031,17.0697
RE1,DEMRESCKNELC,ELC003,2032,13.7053
RE1,DEMRESCKNELC,ELC003,2033,12.5752
RE1,DEMRESCKNELC,ELC003,2034,7.1071
RE1,DEMRESCKNELC,ELC003,2035,10.6707
RE1,DEMRESCKNELC,ELC003,2036,11.3263
RE1,DEMRESCKNELC,ELC003,2037,4.276
RE1,DEMRESCKNELC,ELC003,2045,3.9024
RE1,DEMRESCKNELC,ELC003,2046,14.9973
RE1,DEMRESCKNELC,ELC003,2047,32.6544
RE1,DEMRESCKNELC,ELC003,2048,51.255
RE1,DEMRESCKNELC,ELC003,2049,54.8309
RE1,DEMRESCKNELC,ELC003,2050,54.3419
RE1,DEMRESCKNELC,ELC003,2051,53.8386
