r,l,t,f,y,ProductionByTechnology
RE1,S101,IMPLFO,LFO,2040,39.6403
RE1,S101,MINNGS,NGS,2040,10.6068
RE1,S101,MINSOL,SOL,2040,0.3618
RE1,S101,MINWND,WND,2040,1.6523
RE1,S101,MINHYD,HYD,2040,2.2519
RE1,S101,PWRBIO001,COM027,2040,3.8595
RE1,S101,PWRNGS001,ELC001,2040,5.0994
RE1,S101,PWRHYD001,COM027,2040,1.3566
RE1,S101,PWRHYD002,ELC001,2040,0.52
RE1,S101,PWRHYD003,ELC001,2040,0.3378
RE1,S101,PWRWND001,COM027,2040,1.6523
RE1,S101,PWRSOL001S,COM027,2040,0.5412
RE1,S101,PWRTRN,ELC002,2040,12.9657
RE1,S101,PWRDIST,ELC003,2040,12.2973
RE1,S101,PWRSOL002,ELC003,2040,0.3618
RE1,S101,PWRHYD004,ELC003,2040,0.0375
RE1,S101,DEMTRAEVC,ELCEV,2040,3.595
RE1,S101,DEMTRAMCYELC,TRAMCY,2040,3.2387
RE1,S101,DEMTRACARGSL,TRACAR,2040,5.436
RE1,S101,DEMTRABUSGSL,TRABUS,2040,3.115
RE1,S101,DEMINDELC,INDELC,2040,8.7063
RE1,S101,DEMINDHECOA,INDHEH,2040,2.061
RE1,S101,DEMINDHEBIO,INDHEL,2040,1.8757
RE1,S101,DEMRESCKNBIO,RESCKN,2040,6.9517
RE1,S101,DEMRESHEBIO,RESHEL,2040,2.9793
RE1,S101,DEMCOMHEBIO,COMHEL,2040,0.0411
RE1,S101,TEC087,ELC001,2040,7.4094
RE1,S102,MINBIO,BIO,2040,55.5908
RE1,S102,IMPCOA,COA,2040,2.5444
RE1,S102,IMPLFO,LFO,2040,39.6403
RE1,S102,MINSOL,SOL,2040,5.9589
RE1,S102,MINWND,WND,2040,1.5131
RE1,S102,MINHYD,HYD,2040,2.2519
RE1,S102,PWRBIO001,COM027,2040,3.8595
RE1,S102,PWRSOL001,COM027,2040,3.7881
RE1,S102,PWRHYD001,COM027,2040,1.3566
RE1,S102,PWRHYD002,ELC001,2040,0.52
RE1,S102,PWRHYD003,ELC001,2040,0.3378
RE1,S102,PWRWND001,COM027,2040,1.5131
RE1,S102,PWRSOL001S,COM027,2040,3.247
RE1,S102,PWRTRN,ELC002,2040,14.1833
RE1,S102,PWRDIST,ELC003,2040,13.4522
RE1,S102,PWRSOL002,ELC003,2040,2.1708
RE1,S102,PWRHYD004,ELC003,2040,0.0375
RE1,S102,DEMTRAEVC,ELCEV,2040,5.1652
RE1,S102,DEMTRAMCYELC,TRAMCY,2040,4.6533
RE1,S102,DEMTRACARGSL,TRACAR,2040,3.4322
RE1,S102,DEMTRABUSGSL,TRABUS,2040,5.6198
RE1,S102,DEMINDELC,INDELC,2040,9.9272
RE1,S102,DEMINDHECOA,INDHEH,2040,2.061
RE1,S102,DEMINDHEBIO,INDHEL,2040,1.8757
RE1,S102,DEMRESCKNBIO,RESCKN,2040,6.9517
RE1,S102,DEMRESHEBIO,RESHEL,2040,2.9793
RE1,S102,DEMCOMHEBIO,COMHEL,2040,0.0411
RE1,S102,TEC087,ELC001,2040,13.7642
RE1,S103,MINBIO,BIO,2040,55.5908
RE1,S103,IMPCOA,COA,2040,2.5444
RE1,S103,IMPLFO,LFO,2040,39.6403
RE1,S103,MINNGS,NGS,2040,10.6068
RE1,S103,MINSOL,SOL,2040,0.3606
RE1,S103,MINWND,WND,2040,1.5513
RE1,S103,MINHYD,HYD,2040,1.8964
RE1,S103,PWRBIO001,COM027,2040,3.8595
RE1,S103,PWRNGS001,ELC001,2040,5.0994
RE1,S103,PWRHYD001,COM027,2040,1.1424
RE1,S103,PWRHYD002,ELC001,2040,0.4379
